#itr,#feature,lrate,RMSE(R),RMSE(Test)
1,10,0.001,1.20212824567262,1.32523729771536
2,10,0.001,1.16949376316964,1.26733364802451
3,10,0.001,1.12628127552586,1.21686496066479
4,10,0.001,1.08374067858292,1.17215194465571
5,10,0.001,1.04274425837144,1.13247251357428
6,10,0.001,1.00404526294183,1.09735327217048
7,10,0.001,0.968163585495012,1.06637706144953
8,10,0.001,0.9353612839413,1.03913598123194
9,10,0.001,0.905684832171348,1.01522897588523
10,10,0.001,0.879028334203499,0.994270967907467
11,10,0.001,0.855192440098288,0.975902150274017
12,10,0.001,0.833930074049218,0.959794129969646
13,10,0.001,0.814978238659454,0.945652671120531
14,10,0.001,0.798078227920065,0.933217779791936
15,10,0.001,0.782987257695634,0.922262033672848
16,10,0.001,0.769484221134942,0.912587921340377
17,10,0.001,0.757371680352847,0.904024744723318
18,10,0.001,0.746475610150226,0.896425445119569
19,10,0.001,0.736643916039666,0.889663565536176
20,10,0.001,0.727744377977309,0.883630460646999
21,10,0.001,0.719662411873733,0.878232800962654
22,10,0.001,0.712298870212876,0.873390379161119
23,10,0.001,0.705567996256734,0.869034205043597
24,10,0.001,0.699395582319081,0.865104864838077
25,10,0.001,0.693717345853714,0.861551116279689
26,10,0.001,0.688477517064965,0.858328690310297
27,10,0.001,0.683627621674854,0.855399271664218
28,10,0.001,0.679125438224889,0.852729633017794
29,10,0.001,0.674934108342398,0.850290900174878
30,10,0.001,0.671021379254381,0.848057928593495
31,10,0.001,0.667358959583993,0.846008774245049
32,10,0.001,0.663921971583094,0.844124244244969
33,10,0.001,0.660688485129897,0.842387514867274
34,10,0.001,0.657639120886296,0.840783806452553
35,10,0.001,0.654756711882843,0.839300106353543
36,10,0.001,0.652026014449671,0.837924932458885
37,10,0.001,0.649433460838333,0.83664813102021
38,10,0.001,0.646966947097152,0.835460703507788
39,10,0.001,0.644615650793156,0.834354658061481
40,10,0.001,0.642369874040411,0.833322881809885
41,10,0.001,0.640220908021864,0.832359030922305
42,10,0.001,0.638160915799801,0.831457435753653
43,10,0.001,0.636182830718455,0.830613018856848
44,10,0.001,0.634280268126909,0.829821223984612
45,10,0.001,0.632447448505327,0.829077954492903
46,10,0.001,0.630679130374151,0.828379519802079
47,10,0.001,0.628970551614164,0.827722588776142
48,10,0.001,0.627317378033316,0.82710414905217
49,10,0.001,0.625715658190788,0.826521471496525
50,10,0.001,0.624161783635219,0.825972079086042
51,10,0.001,0.622652453837679,0.825453719615107
52,10,0.001,0.621184645203933,0.824964341716462
53,10,0.001,0.619755583638425,0.824502073756749
54,10,0.001,0.618362720207073,0.824065205230439
55,10,0.001,0.617003709508868,0.823652170328469
56,10,0.001,0.615676390420114,0.823261533403044
57,10,0.001,0.614378768920798,0.822891976088385
58,10,0.001,0.61310900275155,0.822542285870014
59,10,0.001,0.611865387683145,0.822211345923084
60,10,0.001,0.610646345208766,0.821898126064305
61,10,0.001,0.609450411494253,0.821601674682586
62,10,0.001,0.608276227442054,0.821321111531114
63,10,0.001,0.607122529743399,0.821055621278895
