#itr;#feature;lrate;regUser;regItem;regBias;regGlbAvg;RMSE(R);RMSE(Test)
1;10;0.005;0.005;0.005;0.1;0.01;0.53144861530608;2.10584428411775
2;10;0.005;0.005;0.005;0.1;0.01;0.775895360655738;1.90455342663378
3;10;0.005;0.005;0.005;0.1;0.01;0.922872363259045;1.71291678731913
4;10;0.005;0.005;0.005;0.1;0.01;0.971279726981221;1.5459600583466
5;10;0.005;0.005;0.005;0.1;0.01;0.958464078979307;1.41256731592797
6;10;0.005;0.005;0.005;0.1;0.01;0.916472007566941;1.30648636613807
7;10;0.005;0.005;0.005;0.1;0.01;0.86981852181484;1.22264323996635
8;10;0.005;0.005;0.005;0.1;0.01;0.826266643944145;1.15791207854329
9;10;0.005;0.005;0.005;0.1;0.01;0.788621789200697;1.10741030267902
10;10;0.005;0.005;0.005;0.1;0.01;0.75746421283621;1.06698364101812
11;10;0.005;0.005;0.005;0.1;0.01;0.732073917617137;1.03414594570959
12;10;0.005;0.005;0.005;0.1;0.01;0.711726252703227;1.00712992475484
13;10;0.005;0.005;0.005;0.1;0.01;0.695330790523658;0.984546616330556
14;10;0.005;0.005;0.005;0.1;0.01;0.681466619123731;0.965627009016799
15;10;0.005;0.005;0.005;0.1;0.01;0.669599794055557;0.94965687422127
16;10;0.005;0.005;0.005;0.1;0.01;0.65959537377598;0.935915059964489
17;10;0.005;0.005;0.005;0.1;0.01;0.651037757590743;0.923945821867322
18;10;0.005;0.005;0.005;0.1;0.01;0.643373515991859;0.913669111283587
19;10;0.005;0.005;0.005;0.1;0.01;0.636306104565403;0.905038963352576
20;10;0.005;0.005;0.005;0.1;0.01;0.629761194928838;0.897809741914997
21;10;0.005;0.005;0.005;0.1;0.01;0.623659540456978;0.891702766025704
22;10;0.005;0.005;0.005;0.1;0.01;0.617913524259671;0.886494971809619
23;10;0.005;0.005;0.005;0.1;0.01;0.612445067433492;0.882021291966237
24;10;0.005;0.005;0.005;0.1;0.01;0.607188967528299;0.878161002477156
25;10;0.005;0.005;0.005;0.1;0.01;0.602094426881128;0.874823504706253
26;10;0.005;0.005;0.005;0.1;0.01;0.597123665938002;0.871937836306083
27;10;0.005;0.005;0.005;0.1;0.01;0.592248786136873;0.869446479240114
28;10;0.005;0.005;0.005;0.1;0.01;0.587449162814483;0.867302076638584
29;10;0.005;0.005;0.005;0.1;0.01;0.582710033148897;0.865465479083084
30;10;0.005;0.005;0.005;0.1;0.01;0.578021659355463;0.863904184853509
31;10;0.005;0.005;0.005;0.1;0.01;0.573378401778001;0.86259085890131
32;10;0.005;0.005;0.005;0.1;0.01;0.568777532221538;0.861501962482518
33;10;0.005;0.005;0.005;0.1;0.01;0.564218025842075;0.86061664287547
34;10;0.005;0.005;0.005;0.1;0.01;0.559699624818038;0.859915994393564
35;10;0.005;0.005;0.005;0.1;0.01;0.555222272861729;0.859382680437858
36;10;0.005;0.005;0.005;0.1;0.01;0.550785834091867;0.859000798421098
37;10;0.005;0.005;0.005;0.1;0.01;0.546389960439326;0.858755845222279
38;10;0.005;0.005;0.005;0.1;0.01;0.542034021002445;0.858634688162123
39;10;0.005;0.005;0.005;0.1;0.01;0.53771707500387;0.858625507275774
40;10;0.005;0.005;0.005;0.1;0.01;0.533437912945012;0.858717711094339
41;10;0.005;0.005;0.005;0.1;0.01;0.52919519928497;0.858901838211563
42;10;0.005;0.005;0.005;0.1;0.01;0.524987727539439;0.859169453686034
43;10;0.005;0.005;0.005;0.1;0.01;0.520814749903448;0.859513043847762
44;10;0.005;0.005;0.005;0.1;0.01;0.516676284650273;0.85992591038747
45;10;0.005;0.005;0.005;0.1;0.01;0.512573274041518;0.860402065397697
46;10;0.005;0.005;0.005;0.1;0.01;0.508507504257255;0.860936131479393
47;10;0.005;0.005;0.005;0.1;0.01;0.504481302830728;0.861523252457428
48;10;0.005;0.005;0.005;0.1;0.01;0.500497132263012;0.862159019063997
49;10;0.005;0.005;0.005;0.1;0.01;0.496557228502937;0.862839410710859
50;10;0.005;0.005;0.005;0.1;0.01;0.492663380686108;0.863560751132466
