#itr;#feature;lrate;regUser;regItem;regBias;regGlbAvg;regSocial;RMSE(R);RMSE(T)
1;10;0.009;0.0015;0.0015;0.01;0.01;5;0.7262881603;1.7028425065
2;10;0.009;0.0015;0.0015;0.01;0.01;5;0.978154861;1.4236298537
3;10;0.009;0.0015;0.0015;0.01;0.01;5;0.9674627649;1.2302158338
4;10;0.009;0.0015;0.0015;0.01;0.01;5;0.8910451568;1.1010718514
5;10;0.009;0.0015;0.0015;0.01;0.01;5;0.8108224982;1.0240045951
6;10;0.009;0.0015;0.0015;0.01;0.01;5;0.7545598204;0.9758343144
7;10;0.009;0.0015;0.0015;0.01;0.01;5;0.7191883548;0.9424988467
8;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6964202097;0.9186156372
9;10;0.009;0.0015;0.0015;0.01;0.01;5;0.680542548;0.9008988428
10;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6684154066;0.8872863432
11;10;0.009;0.0015;0.0015;0.01;0.01;5;0.658436405;0.8765576025
12;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6497010542;0.8679570038
13;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6417394818;0.8609627932
14;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6342890018;0.855217383
15;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6271864748;0.8504737666
16;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6203276725;0.8465513064
17;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6136475544;0.8433112553
18;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6071088372;0.8406442461
19;10;0.009;0.0015;0.0015;0.01;0.01;5;0.6006928545;0.8384626488
20;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5943907413;0.8366952928
21;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5881976334;0.8352837613
22;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5821111746;0.8341797139
23;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5761322582;0.8333428347
24;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5702652237;0.8327392117
25;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5645164238;0.8323400727
26;10;0.009;0.0015;0.0015;0.01;0.01;5;0.558892107;0.8321208089
27;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5533969672;0.8320602044
28;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5480337128;0.8321398078
29;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5428032531;0.8323434167
30;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5377050828;0.8326566592
31;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5327376685;0.8330666678
32;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5278987765;0.8335618337
33;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5231857264;0.8341316327
34;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5185955724;0.8347665067
35;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5141252244;0.8354577888
36;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5097715261;0.8361976526
37;10;0.009;0.0015;0.0015;0.01;0.01;5;0.5055313018;0.8369790738
38;10;0.009;0.0015;0.0015;0.01;0.01;5;0.501401377;0.8377957897
39;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4973785762;0.8386422532
40;10;0.009;0.0015;0.0015;0.01;0.01;5;0.493459705;0.8395135773
41;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4896415351;0.8404054732
42;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4859208085;0.8413141857
43;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4822942662;0.8422364291
44;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4787586932;0.8431693267
45;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4753109614;0.8441103567
46;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4719480578;0.845057305
47;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4686670936;0.8460082263
48;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4654652995;0.8469614117
49;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4623400152;0.8479153623
50;10;0.009;0.0015;0.0015;0.01;0.01;5;0.4592886791;0.8488687678
